MS4A1	MS4A1
CD79B	CD79B
CD79A	CD79A
HLA-DRA	HLA-DRA
TCL1A	TCL1A
HLA-DQB1	HLA-DQB1
HVCN1	HVCN1
HLA-DMB	HLA-DMB
LTB	LTB
LINC00926	LINC00926
FCER2	FCER2
SP100	SP100
NCF1	NCF1
PPP3CC	PPP3CC
EAF2	EAF2
CD19	CD19
KIAA0125	KIAA0125
CYB561A3	CYB561A3
CD180	CD180
RP11-693J15.5	RP11-693J15.5
FAM96A	FAM96A
CXCR4	CXCR4
STX10	STX10
SNHG7	SNHG7
NT5C	NT5C
BANK1	BANK1
IGLL5	IGLL5
CD200	CD200
FCRLA	FCRLA
CD3D	CD3D
NOSIP	NOSIP
SAFB2	SAFB2
CD2	CD2
IL7R	IL7R
PIK3IP1	PIK3IP1
MPHOSPH6	MPHOSPH6
KHDRBS1	KHDRBS1
MAL	MAL
CCR7	CCR7
THYN1	THYN1
TAF7	TAF7
LDHB	LDHB
TMEM123	TMEM123
EPC1	EPC1
EIF4A2	EIF4A2
CD3E	CD3E
TMUB1	TMUB1
BLOC1S4	BLOC1S4
ACSM3	ACSM3
TMEM204	TMEM204
SRSF7	SRSF7
ACAP1	ACAP1
TNFAIP8	TNFAIP8
CD7	CD7
TAGAP	TAGAP
DNAJB1	DNAJB1
ASNSD1	ASNSD1
S1PR4	S1PR4
CTSW	CTSW
GZMK	GZMK
NKG7	NKG7
IL32	IL32
DNAJC2	DNAJC2
LYAR	LYAR
CST7	CST7
LCK	LCK
CCL5	CCL5
HNRNPH1	HNRNPH1
SSR2	SSR2
DLGAP1-AS1	DLGAP1-AS1
GIMAP1	GIMAP1
MMADHC	MMADHC
ZNF76	ZNF76
CD8A	CD8A
PTPN22	PTPN22
GYPC	GYPC
HNRNPF	HNRNPF
RPL7L1	RPL7L1
KLRG1	KLRG1
CRBN	CRBN
SATB1	SATB1
SIT1	SIT1
PMPCB	PMPCB
NRBP1	NRBP1
TCF7	TCF7
HNRNPA3	HNRNPA3
S100A8	S100A8
S100A9	S100A9
LYZ	LYZ
CD14	CD14
FCN1	FCN1
TYROBP	TYROBP
ASGR1	ASGR1
NFKBIA	NFKBIA
TYMP	TYMP
CTSS	CTSS
TSPO	TSPO
RBP7	RBP7
CTSB	CTSB
LGALS1	LGALS1
FPR1	FPR1
VSTM1	VSTM1
BLVRA	BLVRA
MPEG1	MPEG1
BID	BID
SMCO4	SMCO4
CFD	CFD
LINC00936	LINC00936
LGALS2	LGALS2
MS4A6A	MS4A6A
FCGRT	FCGRT
LGALS3	LGALS3
NUP214	NUP214
SCO2	SCO2
IL17RA	IL17RA
IFI6	IFI6
HLA-DPA1	HLA-DPA1
FCER1A	FCER1A
CLEC10A	CLEC10A
HLA-DMA	HLA-DMA
RGS1	RGS1
HLA-DPB1	HLA-DPB1
HLA-DQA1	HLA-DQA1
RNF130	RNF130
HLA-DRB5	HLA-DRB5
HLA-DRB1	HLA-DRB1
CST3	CST3
IL1B	IL1B
POP7	POP7
HLA-DQA2	HLA-DQA2
CD1C	CD1C
GSTP1	GSTP1
EIF3G	EIF3G
VPS28	VPS28
LY86	LY86
ZFP36L1	ZFP36L1
ZNF330	ZNF330
ANXA2	ANXA2
GRN	GRN
CFP	CFP
HSP90AA1	HSP90AA1
FUOM	FUOM
LST1	LST1
AIF1	AIF1
PSAP	PSAP
YWHAB	YWHAB
MYO1G	MYO1G
SAT1	SAT1
RGS2	RGS2
SERPINA1	SERPINA1
IFITM3	IFITM3
FCGR3A	FCGR3A
S100A11	S100A11
FCER1G	FCER1G
TNFRSF1B	TNFRSF1B
IFITM2	IFITM2
WARS	WARS
IFI30	IFI30
MS4A7	MS4A7
C5AR1	C5AR1
HCK	HCK
COTL1	COTL1
LGALS9	LGALS9
CD68	CD68
RHOC	RHOC
CARD16	CARD16
LRRC25	LRRC25
COPS6	COPS6
ADAR	ADAR
PPBP	PPBP
GPX1	GPX1
TPM4	TPM4
PF4	PF4
SDPR	SDPR
NRGN	NRGN
SPARC	SPARC
GNG11	GNG11
CLU	CLU
HIST1H2AC	HIST1H2AC
NCOA4	NCOA4
GP9	GP9
FERMT3	FERMT3
ODC1	ODC1
CD9	CD9
RUFY1	RUFY1
TUBB1	TUBB1
TALDO1	TALDO1
TREML1	TREML1
NGFRAP1	NGFRAP1
PGRMC1	PGRMC1
CA2	CA2
ITGA2B	ITGA2B
MYL9	MYL9
TMEM40	TMEM40
PARVB	PARVB
PTCRA	PTCRA
ACRBP	ACRBP
TSC22D1	TSC22D1
VDAC3	VDAC3
GZMB	GZMB
GZMA	GZMA
GNLY	GNLY
FGFBP2	FGFBP2
AKR1C3	AKR1C3
CCL4	CCL4
PRF1	PRF1
GZMH	GZMH
XBP1	XBP1
GZMM	GZMM
PTGDR	PTGDR
IGFBP7	IGFBP7
TTC38	TTC38
KLRD1	KLRD1
ARHGDIA	ARHGDIA
IL2RB	IL2RB
CLIC3	CLIC3
PPP1R18	PPP1R18
CD247	CD247
ALOX5AP	ALOX5AP
XCL2	XCL2
C12orf75	C12orf75
RARRES3	RARRES3
PCMT1	PCMT1
LAMP1	LAMP1
SPON2	SPON2
S100B	S100B
